Date,Open,High,Low,Close,AdjClose,Volume
19-01-2018,967.575012,979.950012,959.625,976.099976,957.628906,5727994.0
22-01-2018,980.0,994.0,976.575012,981.674988,963.098389,4424884.0
23-01-2018,982.5,983.349976,971.650024,975.650024,957.1875,2523898.0
24-01-2018,976.275024,984.5,975.299988,978.825012,960.302368,2395284.0
25-01-2018,976.950012,990.0,975.25,987.474976,968.788635,4361834.0
29-01-2018,989.0,1003.474976,989.0,999.825012,980.904968,4117946.0
30-01-2018,998.900024,1000.950012,992.075012,997.75,978.869263,3198780.0
31-01-2018,994.700012,1006.75,993.5,1002.849976,983.872681,3471674.0
01-02-2018,1003.0,1007.5,992.650024,995.575012,976.735413,3260710.0
02-02-2018,993.0,994.950012,970.75,974.0,955.568665,3673062.0
05-02-2018,959.0,967.625,952.924988,956.924988,938.816711,3963392.0
06-02-2018,930.0,956.0,918.150024,948.400024,930.453125,5374902.0
07-02-2018,953.5,953.5,931.200012,936.400024,918.680176,4182486.0
08-02-2018,942.0,949.299988,933.25,940.474976,922.67804,2585722.0
09-02-2018,923.950012,932.349976,922.049988,924.75,907.25061,3204476.0
12-02-2018,930.0,943.0,927.575012,938.325012,920.568787,2190554.0
14-02-2018,944.900024,948.950012,937.325012,941.575012,923.757324,1788594.0
15-02-2018,944.849976,947.375,937.5,940.950012,923.144043,2457612.0
16-02-2018,941.950012,947.424988,937.825012,939.299988,921.525269,1791760.0
19-02-2018,941.299988,943.799988,929.525024,939.099976,921.329041,1827276.0
20-02-2018,942.375,942.924988,929.400024,931.599976,913.970947,2042034.0
21-02-2018,933.974976,934.275024,926.099976,928.700012,911.125916,1376536.0
22-02-2018,925.0,930.0,920.775024,926.599976,909.065613,6626798.0
23-02-2018,928.450012,942.424988,925.200012,940.275024,922.481873,2038374.0
26-02-2018,944.049988,957.400024,941.775024,955.775024,937.688538,2394442.0
27-02-2018,957.375,960.875,950.0,951.275024,933.273743,2393664.0
28-02-2018,944.775024,947.724976,939.0,942.099976,924.272278,2033182.0
01-03-2018,939.650024,946.650024,934.0,937.174988,919.440491,1954920.0
05-03-2018,937.075012,939.0,929.125,934.974976,917.282104,1890732.0
06-03-2018,935.0,939.950012,919.75,923.125,905.656372,2288414.0
07-03-2018,920.0,926.700012,914.25,916.299988,898.960571,2814082.0
08-03-2018,919.900024,929.25,916.0,926.424988,908.89386,2759362.0
09-03-2018,927.474976,932.625,922.0,925.525024,908.010986,2054054.0
12-03-2018,930.099976,934.724976,926.700012,933.625,915.957703,3278558.0
13-03-2018,933.724976,942.375,927.5,930.125,912.523926,2562100.0
14-03-2018,928.0,933.950012,924.0,932.25,914.608765,1840196.0
15-03-2018,932.599976,943.75,932.599976,940.400024,922.604492,2935462.0
16-03-2018,940.0,940.549988,923.275024,926.5,908.967468,3948168.0
19-03-2018,926.5,930.0,921.575012,923.625,906.146912,3919370.0
20-03-2018,922.549988,927.950012,917.625,919.75,902.345215,1828686.0
21-03-2018,924.0,931.599976,921.650024,929.450012,911.861694,2960570.0
22-03-2018,929.450012,940.0,927.549988,933.875,916.202942,3336612.0
23-03-2018,923.325012,926.549988,918.625,920.775024,903.350891,3595076.0
26-03-2018,919.950012,950.0,916.75,946.724976,928.809692,5250884.0
27-03-2018,946.900024,949.5,938.0,946.299988,928.392822,3068418.0
28-03-2018,941.474976,949.849976,938.025024,943.049988,925.204346,4418754.0
02-04-2018,945.25,967.875,945.25,965.599976,947.327576,2298184.0
03-04-2018,961.974976,962.849976,955.5,957.950012,939.822327,2039942.0
04-04-2018,956.474976,962.474976,939.224976,941.625,923.806274,1857054.0
05-04-2018,950.650024,957.0,945.099976,954.450012,936.388672,2429446.0
06-04-2018,956.099976,963.224976,952.900024,961.700012,943.501404,1860004.0
09-04-2018,959.400024,971.0,958.200012,969.525024,951.178406,2001768.0
10-04-2018,971.5,971.5,956.75,960.424988,942.250549,3033618.0
11-04-2018,957.950012,960.0,952.700012,959.424988,941.26947,1435406.0
12-04-2018,958.0,966.450012,952.950012,964.400024,946.15033,2356258.0
13-04-2018,964.0,970.0,959.549988,962.5,944.286255,1648586.0
16-04-2018,960.0,975.0,959.924988,971.049988,952.6745,1423872.0
17-04-2018,971.75,975.5,967.049988,974.25,955.813965,1333916.0
18-04-2018,975.5,976.75,965.025024,966.299988,948.014404,1356360.0
19-04-2018,970.0,972.400024,966.5,969.5,951.153809,1584516.0
20-04-2018,970.5,980.5,966.075012,977.950012,959.44397,4680690.0
23-04-2018,989.5,989.5,930.150024,967.875,949.55957,7652310.0
24-04-2018,967.5,974.025024,963.0,967.5,949.191711,2518708.0
25-04-2018,963.950012,969.0,956.0,960.375,942.201477,2010296.0
26-04-2018,958.400024,969.599976,955.625,965.125,946.861572,3923740.0
27-04-2018,966.5,967.75,956.25,961.700012,943.501404,2888504.0
30-04-2018,965.0,977.400024,964.400024,972.150024,953.753662,2304776.0
02-05-2018,975.0,989.0,973.0,984.75,966.115234,3550024.0
03-05-2018,984.025024,987.450012,973.0,983.950012,965.330383,2076386.0
04-05-2018,985.0,995.0,983.150024,994.25,975.435425,3440718.0
07-05-2018,990.825012,993.650024,987.5,988.700012,969.99054,2632064.0
08-05-2018,989.625,989.950012,977.299988,983.525024,964.913452,3550282.0
09-05-2018,978.075012,990.25,978.075012,989.200012,970.481079,2163666.0
10-05-2018,994.299988,999.5,991.0,996.349976,977.495728,3585836.0
11-05-2018,996.349976,1008.5,993.0,1005.875,986.840454,3028534.0
14-05-2018,1008.599976,1013.700012,1006.200012,1010.875,991.74585,2371458.0
15-05-2018,1013.525024,1032.5,1013.349976,1018.900024,999.61908,4913342.0
16-05-2018,1015.275024,1024.5,1008.575012,1011.674988,992.530701,3420802.0
17-05-2018,1011.924988,1022.224976,1006.25,1013.875,994.689087,3307738.0
18-05-2018,1012.349976,1012.349976,1001.75,1006.075012,987.036743,2608730.0
21-05-2018,1008.049988,1010.5,993.025024,996.525024,977.667419,2424054.0
22-05-2018,999.349976,1006.974976,992.75,994.950012,976.122253,1980186.0
23-05-2018,993.900024,997.0,981.700012,983.75,965.134155,2863146.0
24-05-2018,983.549988,995.125,978.174988,993.0,974.209106,2260372.0
25-05-2018,995.0,1008.0,994.950012,1004.349976,985.344238,2379794.0
28-05-2018,1003.900024,1026.0,1003.0,1021.099976,1001.777344,2551970.0
29-05-2018,1019.0,1026.349976,1014.400024,1016.299988,997.068176,1675622.0
30-05-2018,1009.849976,1026.5,1008.150024,1024.175049,1004.794312,2433498.0
31-05-2018,1050.0,1080.0,1040.0,1069.724976,1056.185425,19819596.0
01-06-2018,1058.0,1069.0,1050.5,1055.300049,1041.943115,10575678.0
04-06-2018,1075.0,1078.5,1018.974976,1023.099976,1010.150513,44398162.0
05-06-2018,1025.0,1033.474976,1011.5,1031.800049,1018.740356,8552730.0
06-06-2018,1030.099976,1032.400024,1022.5,1028.675049,1015.654968,4891000.0
07-06-2018,1036.599976,1039.900024,1026.599976,1031.099976,1018.049255,5281948.0
08-06-2018,1029.5,1030.625,1017.5,1024.675049,1011.705627,3090444.0
11-06-2018,1025.949951,1031.474976,1019.400024,1021.150024,1008.22522,3545594.0
12-06-2018,1025.949951,1026.349976,1019.200012,1021.924988,1008.990417,2617128.0
13-06-2018,1026.0,1027.400024,1012.049988,1015.724976,1002.868835,3948980.0
14-06-2018,1015.0,1022.5,1012.5,1018.700012,1005.806274,8463788.0
15-06-2018,1013.0,1019.450012,1011.150024,1014.799988,1001.955627,5440408.0
18-06-2018,1015.049988,1019.400024,1004.549988,1009.575012,996.796692,3743702.0
19-06-2018,1012.474976,1020.349976,1009.650024,1011.75,998.944153,5490576.0
20-06-2018,1013.0,1029.0,1012.5,1028.074951,1015.0625,4525856.0
21-06-2018,1030.0,1035.400024,1023.525024,1028.800049,1015.778442,6755352.0
22-06-2018,1028.474976,1044.400024,1024.925049,1041.675049,1028.490601,3924490.0
25-06-2018,1041.525024,1048.900024,1036.525024,1047.474976,1034.217041,3496168.0
26-06-2018,1043.025024,1051.5,1039.925049,1046.849976,1033.599976,4580966.0
27-06-2018,1046.5,1059.75,1045.0,1056.300049,1042.93042,9563402.0
28-06-2018,1057.5,1070.0,1055.599976,1065.425049,1051.939819,18766770.0
29-06-2018,1060.849976,1070.0,1052.550049,1054.224976,1040.88147,9729060.0
02-07-2018,1054.175049,1054.199951,1031.625,1036.625,1023.504333,4932438.0
03-07-2018,1036.625,1042.5,1032.800049,1035.099976,1021.998718,3431550.0
04-07-2018,1038.125,1054.025024,1034.5,1051.775024,1038.462646,3048996.0
05-07-2018,1052.5,1064.5,1046.275024,1061.875,1048.434692,4867984.0
06-07-2018,1056.650024,1067.775024,1055.675049,1057.574951,1044.189087,4060672.0
09-07-2018,1060.925049,1065.0,1053.875,1062.824951,1049.372803,3091148.0
10-07-2018,1064.949951,1074.800049,1062.5,1073.199951,1059.616455,5475368.0
11-07-2018,1072.525024,1077.849976,1067.400024,1074.125,1060.529663,2928960.0
12-07-2018,1076.449951,1089.925049,1076.0,1082.974976,1069.267822,4010334.0
13-07-2018,1084.199951,1095.400024,1081.550049,1090.449951,1076.648071,3580594.0
16-07-2018,1089.699951,1095.025024,1081.875,1084.425049,1070.699341,4508668.0
17-07-2018,1081.625,1090.5,1081.625,1088.375,1074.599365,3180962.0
18-07-2018,1093.5,1110.0,1086.824951,1088.099976,1074.327881,8730136.0
19-07-2018,1091.5,1096.75,1085.5,1093.050049,1079.21521,2652388.0
20-07-2018,1093.050049,1101.425049,1085.550049,1094.525024,1080.671509,5003482.0
23-07-2018,1075.0,1089.0,1069.025024,1078.224976,1064.577759,8440066.0
24-07-2018,1073.5,1084.5,1073.5,1079.875,1066.206909,2604396.0
25-07-2018,1082.324951,1088.400024,1080.0,1085.175049,1071.439941,3519308.0
26-07-2018,1082.5,1101.724976,1082.5,1096.300049,1082.424072,10640546.0
27-07-2018,1100.974976,1105.974976,1092.349976,1101.074951,1087.138672,5277298.0
30-07-2018,1099.5,1099.5,1079.699951,1084.949951,1071.217651,3584560.0
31-07-2018,1080.0,1092.949951,1075.025024,1089.75,1075.956909,4430472.0
01-08-2018,1081.400024,1087.5,1075.849976,1079.349976,1065.688599,3035780.0
02-08-2018,1076.75,1076.849976,1060.675049,1065.099976,1051.618896,4452852.0
03-08-2018,1066.775024,1073.525024,1057.0,1060.824951,1047.397949,6802004.0
06-08-2018,1060.5,1068.699951,1053.050049,1057.150024,1043.769531,2872316.0
07-08-2018,1062.5,1067.25,1054.0,1065.449951,1051.964478,3714228.0
08-08-2018,1067.925049,1075.900024,1066.525024,1068.175049,1054.655151,4972690.0
09-08-2018,1071.0,1071.0,1047.324951,1059.25,1045.842896,4472204.0
10-08-2018,1061.75,1061.900024,1049.0,1057.224976,1043.843628,2721470.0
13-08-2018,1042.0,1051.974976,1040.0,1045.824951,1032.587769,5027126.0
14-08-2018,1049.0,1052.5,1043.599976,1044.550049,1031.329102,2467982.0
16-08-2018,1041.5,1043.349976,1033.199951,1037.849976,1024.713867,5312580.0
17-08-2018,1041.449951,1046.525024,1035.824951,1038.675049,1025.528442,3032664.0
20-08-2018,1037.5,1053.800049,1037.5,1048.099976,1034.834106,3905568.0
21-08-2018,1049.0,1056.0,1046.324951,1048.025024,1034.760132,3888160.0
23-08-2018,1052.5,1053.5,1038.425049,1039.949951,1026.787231,6287276.0
